user_id,n_touchpoints,channel_sequence,first_touch_channel,first_touch_campaign,last_touch_channel,last_touch_campaign,converted_any_yes,last_touch_yes,n_conversion_events,first_conversion_rank,any_yes_before_last,multiple_yes_events,journey_start,journey_end,all_campaigns_ordered
10028,2,Search Ads -> Display Ads,Search Ads,Discount Offer,Display Ads,-,1,1,2,1.0,1,1,2025-02-10 01:44:00,2025-02-11 01:03:00,"Discount Offer, -"
10045,2,Search Ads -> Display Ads,Search Ads,Discount Offer,Display Ads,New Product Launch,1,1,1,2.0,0,0,2025-02-10 17:20:00,2025-02-11 18:44:00,"Discount Offer, New Product Launch"
10062,3,Social Media -> Direct Traffic -> Email,Social Media,Brand Awareness,Email,Brand Awareness,1,1,1,3.0,0,0,2025-02-10 15:42:00,2025-02-11 21:10:00,"Brand Awareness, -, Brand Awareness"
10068,5,Search Ads -> Social Media -> Social Media -> Search Ads -> Social Media,Search Ads,-,Social Media,Winter Sale,1,0,3,1.0,1,1,2025-02-10 07:07:00,2025-02-11 23:05:00,"-, Retargeting, Brand Awareness, New Product Launch, Winter Sale"
10095,6,Display Ads -> Email -> Referral -> Display Ads -> Search Ads -> Referral,Display Ads,Retargeting,Referral,-,1,1,5,1.0,1,1,2025-02-10 07:07:00,2025-02-11 23:24:00,"Retargeting, Retargeting, New Product Launch, -, Retargeting, -"
10120,5,Referral -> Email -> Referral -> Direct Traffic -> Direct Traffic,Referral,Winter Sale,Direct Traffic,-,1,1,2,2.0,1,1,2025-02-10 09:11:00,2025-02-11 13:11:00,"Winter Sale, Winter Sale, New Product Launch, -, -"
10167,3,Social Media -> Display Ads -> Display Ads,Social Media,Retargeting,Display Ads,Brand Awareness,1,1,1,3.0,0,0,2025-02-10 03:16:00,2025-02-11 22:03:00,"Retargeting, Brand Awareness, Brand Awareness"
10172,2,Email -> Referral,Email,Brand Awareness,Referral,Winter Sale,1,1,1,2.0,0,0,2025-02-10 21:07:00,2025-02-11 18:20:00,"Brand Awareness, Winter Sale"
10202,5,Display Ads -> Direct Traffic -> Display Ads -> Social Media -> Search Ads,Display Ads,New Product Launch,Search Ads,New Product Launch,1,1,4,2.0,1,1,2025-02-10 03:02:00,2025-02-11 21:53:00,"New Product Launch, -, New Product Launch, Retargeting, New Product Launch"
10255,4,Social Media -> Referral -> Direct Traffic -> Social Media,Social Media,New Product Launch,Social Media,New Product Launch,1,1,2,3.0,1,1,2025-02-10 01:10:00,2025-02-11 02:38:00,"New Product Launch, Winter Sale, -, New Product Launch"
10271,1,Social Media,Social Media,Discount Offer,Social Media,Discount Offer,1,1,1,1.0,0,0,2025-02-10 02:48:00,2025-02-10 02:48:00,Discount Offer
10273,1,Social Media,Social Media,Brand Awareness,Social Media,Brand Awareness,1,1,1,1.0,0,0,2025-02-10 17:33:00,2025-02-10 17:33:00,Brand Awareness
10303,2,Direct Traffic -> Referral,Direct Traffic,-,Referral,Discount Offer,1,1,1,2.0,0,0,2025-02-10 06:08:00,2025-02-10 09:14:00,"-, Discount Offer"
10306,2,Social Media -> Search Ads,Social Media,Discount Offer,Search Ads,Discount Offer,1,1,2,1.0,1,1,2025-02-10 11:52:00,2025-02-10 14:47:00,"Discount Offer, Discount Offer"
10317,7,Email -> Direct Traffic -> Social Media -> Referral -> Social Media -> Search Ads -> Display Ads,Email,Discount Offer,Display Ads,Brand Awareness,1,1,3,3.0,1,1,2025-02-10 01:16:00,2025-02-11 16:55:00,"Discount Offer, -, -, Brand Awareness, Discount Offer, New Product Launch, Brand Awareness"
10341,3,Display Ads -> Display Ads -> Email,Display Ads,Winter Sale,Email,Winter Sale,1,1,2,2.0,1,1,2025-02-10 18:53:00,2025-02-11 21:07:00,"Winter Sale, -, Winter Sale"
10374,3,Email -> Search Ads -> Direct Traffic,Email,New Product Launch,Direct Traffic,-,1,0,1,1.0,1,0,2025-02-10 12:42:00,2025-02-11 20:39:00,"New Product Launch, New Product Launch, -"
10378,3,Search Ads -> Social Media -> Referral,Search Ads,-,Referral,Brand Awareness,1,1,3,1.0,1,1,2025-02-10 04:44:00,2025-02-11 21:26:00,"-, Discount Offer, Brand Awareness"
10414,2,Referral -> Social Media,Referral,Brand Awareness,Social Media,Brand Awareness,0,0,0,,0,0,2025-02-11 06:40:00,2025-02-11 09:07:00,"Brand Awareness, Brand Awareness"
10415,4,Social Media -> Direct Traffic -> Email -> Email,Social Media,-,Email,Discount Offer,1,1,3,1.0,1,1,2025-02-10 02:46:00,2025-02-11 09:28:00,"-, -, New Product Launch, Discount Offer"
10426,2,Referral -> Direct Traffic,Referral,Winter Sale,Direct Traffic,-,1,1,2,1.0,1,1,2025-02-10 04:18:00,2025-02-11 12:48:00,"Winter Sale, -"
10442,6,Direct Traffic -> Search Ads -> Search Ads -> Social Media -> Email -> Social Media,Direct Traffic,-,Social Media,New Product Launch,1,1,4,1.0,1,1,2025-02-10 05:15:00,2025-02-11 20:42:00,"-, Winter Sale, New Product Launch, Winter Sale, -, New Product Launch"
10466,3,Display Ads -> Social Media -> Direct Traffic,Display Ads,New Product Launch,Direct Traffic,-,1,1,1,3.0,0,0,2025-02-10 00:48:00,2025-02-11 23:16:00,"New Product Launch, -, -"
10518,4,Social Media -> Social Media -> Referral -> Referral,Social Media,Winter Sale,Referral,-,1,1,2,3.0,1,1,2025-02-10 03:46:00,2025-02-11 12:17:00,"Winter Sale, Winter Sale, New Product Launch, -"
10556,4,Referral -> Direct Traffic -> Display Ads -> Direct Traffic,Referral,-,Direct Traffic,-,1,0,1,3.0,1,0,2025-02-10 03:02:00,2025-02-11 15:07:00,"-, -, New Product Launch, -"
10566,1,Direct Traffic,Direct Traffic,-,Direct Traffic,-,1,1,1,1.0,0,0,2025-02-10 09:32:00,2025-02-10 09:32:00,-
10614,2,Search Ads -> Social Media,Search Ads,Winter Sale,Social Media,Brand Awareness,0,0,0,,0,0,2025-02-11 15:09:00,2025-02-11 23:44:00,"Winter Sale, Brand Awareness"
10654,10,Referral -> Search Ads -> Search Ads -> Email -> Display Ads -> Search Ads -> Direct Traffic -> Email -> Display Ads -> Social Media,Referral,Winter Sale,Social Media,New Product Launch,1,0,5,4.0,1,1,2025-02-10 00:46:00,2025-02-11 22:26:00,"Winter Sale, -, Winter Sale, -, -, New Product Launch, -, Retargeting, Discount Offer, New Product Launch"
10665,2,Referral -> Referral,Referral,Winter Sale,Referral,Retargeting,1,1,2,1.0,1,1,2025-02-10 03:47:00,2025-02-11 20:27:00,"Winter Sale, Retargeting"
10668,7,Direct Traffic -> Direct Traffic -> Direct Traffic -> Referral -> Search Ads -> Direct Traffic -> Display Ads,Direct Traffic,-,Display Ads,Brand Awareness,1,0,3,2.0,1,1,2025-02-10 16:40:00,2025-02-11 23:44:00,"-, -, -, Retargeting, New Product Launch, -, Brand Awareness"
10673,4,Display Ads -> Direct Traffic -> Referral -> Referral,Display Ads,Retargeting,Referral,New Product Launch,1,1,3,1.0,1,1,2025-02-10 02:33:00,2025-02-11 12:48:00,"Retargeting, -, -, New Product Launch"
10685,6,Display Ads -> Referral -> Search Ads -> Email -> Email -> Display Ads,Display Ads,Brand Awareness,Display Ads,-,1,0,4,1.0,1,1,2025-02-10 01:43:00,2025-02-11 10:08:00,"Brand Awareness, Brand Awareness, New Product Launch, -, Discount Offer, -"
10690,5,Display Ads -> Display Ads -> Display Ads -> Email -> Search Ads,Display Ads,-,Search Ads,New Product Launch,1,0,3,1.0,1,1,2025-02-10 02:17:00,2025-02-11 04:20:00,"-, Discount Offer, -, Discount Offer, New Product Launch"
10698,3,Referral -> Search Ads -> Display Ads,Referral,New Product Launch,Display Ads,Brand Awareness,0,0,0,,0,0,2025-02-10 02:15:00,2025-02-11 03:23:00,"New Product Launch, Retargeting, Brand Awareness"
