metric,value,note
total_touchpoints,10000.0,Raw touchpoint rows
unique_users,2847.0,Reconstructed customer journeys
missing_values,0.0,Total missing cells in SQL staging columns
duplicate_rows,0.0,Duplicate raw rows by core fields
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
date_start,0.0,See date_coverage_base.csv for earliest timestamp
