touchpoint_id, user_id, timestamp_iso      , channel       , campaign          , conversion, is_conversion, touchpoint_rank, touchpoint_rank_reverse, is_first_touch, is_last_touch, n_touchpoints, linear_weight      , converted_any_yes, last_touch_yes, n_conversion_events, first_conversion_rank, any_yes_before_last, multiple_yes_events
         8298,   10028, 2025-02-10 01:44:00, Search Ads    , Discount Offer    , Yes       ,             1,               1,                       2,              1,             0,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         3634,   10028, 2025-02-11 01:03:00, Display Ads   , -                 , Yes       ,             1,               2,                       1,              0,             1,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         9487,   10045, 2025-02-10 17:20:00, Search Ads    , Discount Offer    , No        ,             0,               1,                       2,              1,             0,             2, 0.5                ,                 1,              1,                   1,                   2.0,                   0,                   0
         7664,   10045, 2025-02-11 18:44:00, Display Ads   , New Product Launch, Yes       ,             1,               2,                       1,              0,             1,             2, 0.5                ,                 1,              1,                   1,                   2.0,                   0,                   0
         8644,   10062, 2025-02-10 15:42:00, Social Media  , Brand Awareness   , No        ,             0,               1,                       3,              1,             0,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         7030,   10062, 2025-02-10 22:00:00, Direct Traffic, -                 , No        ,             0,               2,                       2,              0,             0,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         1968,   10062, 2025-02-11 21:10:00, Email         , Brand Awareness   , Yes       ,             1,               3,                       1,              0,             1,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         2081,   10068, 2025-02-10 07:07:00, Search Ads    , -                 , Yes       ,             1,               1,                       5,              1,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         8458,   10068, 2025-02-11 08:05:00, Social Media  , Retargeting       , No        ,             0,               2,                       4,              0,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         9491,   10068, 2025-02-11 10:14:00, Social Media  , Brand Awareness   , Yes       ,             1,               3,                       3,              0,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         5959,   10068, 2025-02-11 11:39:00, Search Ads    , New Product Launch, Yes       ,             1,               4,                       2,              0,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
          664,   10068, 2025-02-11 23:05:00, Social Media  , Winter Sale       , No        ,             0,               5,                       1,              0,             1,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         7369,   10095, 2025-02-10 07:07:00, Display Ads   , Retargeting       , Yes       ,             1,               1,                       6,              1,             0,             6, 0.16666666666666666,                 1,              1,                   5,                   1.0,                   1,                   1
         2860,   10095, 2025-02-10 21:59:00, Email         , Retargeting       , Yes       ,             1,               2,                       5,              0,             0,             6, 0.16666666666666666,                 1,              1,                   5,                   1.0,                   1,                   1
         8408,   10095, 2025-02-11 01:37:00, Referral      , New Product Launch, Yes       ,             1,               3,                       4,              0,             0,             6, 0.16666666666666666,                 1,              1,                   5,                   1.0,                   1,                   1
         4144,   10095, 2025-02-11 08:09:00, Display Ads   , -                 , No        ,             0,               4,                       3,              0,             0,             6, 0.16666666666666666,                 1,              1,                   5,                   1.0,                   1,                   1
         9281,   10095, 2025-02-11 18:45:00, Search Ads    , Retargeting       , Yes       ,             1,               5,                       2,              0,             0,             6, 0.16666666666666666,                 1,              1,                   5,                   1.0,                   1,                   1
         5812,   10095, 2025-02-11 23:24:00, Referral      , -                 , Yes       ,             1,               6,                       1,              0,             1,             6, 0.16666666666666666,                 1,              1,                   5,                   1.0,                   1,                   1
         2576,   10120, 2025-02-10 09:11:00, Referral      , Winter Sale       , No        ,             0,               1,                       5,              1,             0,             5, 0.2                ,                 1,              1,                   2,                   2.0,                   1,                   1
         3485,   10120, 2025-02-10 16:31:00, Email         , Winter Sale       , Yes       ,             1,               2,                       4,              0,             0,             5, 0.2                ,                 1,              1,                   2,                   2.0,                   1,                   1
         4484,   10120, 2025-02-11 04:33:00, Referral      , New Product Launch, No        ,             0,               3,                       3,              0,             0,             5, 0.2                ,                 1,              1,                   2,                   2.0,                   1,                   1
         7416,   10120, 2025-02-11 10:21:00, Direct Traffic, -                 , No        ,             0,               4,                       2,              0,             0,             5, 0.2                ,                 1,              1,                   2,                   2.0,                   1,                   1
         9588,   10120, 2025-02-11 13:11:00, Direct Traffic, -                 , Yes       ,             1,               5,                       1,              0,             1,             5, 0.2                ,                 1,              1,                   2,                   2.0,                   1,                   1
         5817,   10167, 2025-02-10 03:16:00, Social Media  , Retargeting       , No        ,             0,               1,                       3,              1,             0,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         2878,   10167, 2025-02-10 14:59:00, Display Ads   , Brand Awareness   , No        ,             0,               2,                       2,              0,             0,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
          529,   10167, 2025-02-11 22:03:00, Display Ads   , Brand Awareness   , Yes       ,             1,               3,                       1,              0,             1,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         6216,   10172, 2025-02-10 21:07:00, Email         , Brand Awareness   , No        ,             0,               1,                       2,              1,             0,             2, 0.5                ,                 1,              1,                   1,                   2.0,                   0,                   0
         4777,   10172, 2025-02-11 18:20:00, Referral      , Winter Sale       , Yes       ,             1,               2,                       1,              0,             1,             2, 0.5                ,                 1,              1,                   1,                   2.0,                   0,                   0
         4656,   10202, 2025-02-10 03:02:00, Display Ads   , New Product Launch, No        ,             0,               1,                       5,              1,             0,             5, 0.2                ,                 1,              1,                   4,                   2.0,                   1,                   1
         9929,   10202, 2025-02-10 09:47:00, Direct Traffic, -                 , Yes       ,             1,               2,                       4,              0,             0,             5, 0.2                ,                 1,              1,                   4,                   2.0,                   1,                   1
         2310,   10202, 2025-02-10 10:05:00, Display Ads   , New Product Launch, Yes       ,             1,               3,                       3,              0,             0,             5, 0.2                ,                 1,              1,                   4,                   2.0,                   1,                   1
         7676,   10202, 2025-02-10 13:33:00, Social Media  , Retargeting       , Yes       ,             1,               4,                       2,              0,             0,             5, 0.2                ,                 1,              1,                   4,                   2.0,                   1,                   1
         3887,   10202, 2025-02-11 21:53:00, Search Ads    , New Product Launch, Yes       ,             1,               5,                       1,              0,             1,             5, 0.2                ,                 1,              1,                   4,                   2.0,                   1,                   1
          199,   10255, 2025-02-10 01:10:00, Social Media  , New Product Launch, No        ,             0,               1,                       4,              1,             0,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         9074,   10255, 2025-02-10 05:49:00, Referral      , Winter Sale       , No        ,             0,               2,                       3,              0,             0,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         7105,   10255, 2025-02-10 22:47:00, Direct Traffic, -                 , Yes       ,             1,               3,                       2,              0,             0,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         6566,   10255, 2025-02-11 02:38:00, Social Media  , New Product Launch, Yes       ,             1,               4,                       1,              0,             1,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         4733,   10271, 2025-02-10 02:48:00, Social Media  , Discount Offer    , Yes       ,             1,               1,                       1,              1,             1,             1, 1.0                ,                 1,              1,                   1,                   1.0,                   0,                   0
         3320,   10273, 2025-02-10 17:33:00, Social Media  , Brand Awareness   , Yes       ,             1,               1,                       1,              1,             1,             1, 1.0                ,                 1,              1,                   1,                   1.0,                   0,                   0
         2964,   10303, 2025-02-10 06:08:00, Direct Traffic, -                 , No        ,             0,               1,                       2,              1,             0,             2, 0.5                ,                 1,              1,                   1,                   2.0,                   0,                   0
         2550,   10303, 2025-02-10 09:14:00, Referral      , Discount Offer    , Yes       ,             1,               2,                       1,              0,             1,             2, 0.5                ,                 1,              1,                   1,                   2.0,                   0,                   0
         9722,   10306, 2025-02-10 11:52:00, Social Media  , Discount Offer    , Yes       ,             1,               1,                       2,              1,             0,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         4772,   10306, 2025-02-10 14:47:00, Search Ads    , Discount Offer    , Yes       ,             1,               2,                       1,              0,             1,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         1995,   10317, 2025-02-10 01:16:00, Email         , Discount Offer    , No        ,             0,               1,                       7,              1,             0,             7, 0.14285714285714285,                 1,              1,                   3,                   3.0,                   1,                   1
         7215,   10317, 2025-02-10 04:33:00, Direct Traffic, -                 , No        ,             0,               2,                       6,              0,             0,             7, 0.14285714285714285,                 1,              1,                   3,                   3.0,                   1,                   1
         2274,   10317, 2025-02-10 08:17:00, Social Media  , -                 , Yes       ,             1,               3,                       5,              0,             0,             7, 0.14285714285714285,                 1,              1,                   3,                   3.0,                   1,                   1
         4593,   10317, 2025-02-10 09:29:00, Referral      , Brand Awareness   , Yes       ,             1,               4,                       4,              0,             0,             7, 0.14285714285714285,                 1,              1,                   3,                   3.0,                   1,                   1
         4307,   10317, 2025-02-11 01:39:00, Social Media  , Discount Offer    , No        ,             0,               5,                       3,              0,             0,             7, 0.14285714285714285,                 1,              1,                   3,                   3.0,                   1,                   1
         2478,   10317, 2025-02-11 09:14:00, Search Ads    , New Product Launch, No        ,             0,               6,                       2,              0,             0,             7, 0.14285714285714285,                 1,              1,                   3,                   3.0,                   1,                   1
         3862,   10317, 2025-02-11 16:55:00, Display Ads   , Brand Awareness   , Yes       ,             1,               7,                       1,              0,             1,             7, 0.14285714285714285,                 1,              1,                   3,                   3.0,                   1,                   1
         9379,   10341, 2025-02-10 18:53:00, Display Ads   , Winter Sale       , No        ,             0,               1,                       3,              1,             0,             3, 0.3333333333333333 ,                 1,              1,                   2,                   2.0,                   1,                   1
         1555,   10341, 2025-02-10 21:08:00, Display Ads   , -                 , Yes       ,             1,               2,                       2,              0,             0,             3, 0.3333333333333333 ,                 1,              1,                   2,                   2.0,                   1,                   1
         8210,   10341, 2025-02-11 21:07:00, Email         , Winter Sale       , Yes       ,             1,               3,                       1,              0,             1,             3, 0.3333333333333333 ,                 1,              1,                   2,                   2.0,                   1,                   1
         2527,   10374, 2025-02-10 12:42:00, Email         , New Product Launch, Yes       ,             1,               1,                       3,              1,             0,             3, 0.3333333333333333 ,                 1,              0,                   1,                   1.0,                   1,                   0
         5911,   10374, 2025-02-11 12:58:00, Search Ads    , New Product Launch, No        ,             0,               2,                       2,              0,             0,             3, 0.3333333333333333 ,                 1,              0,                   1,                   1.0,                   1,                   0
         4849,   10374, 2025-02-11 20:39:00, Direct Traffic, -                 , No        ,             0,               3,                       1,              0,             1,             3, 0.3333333333333333 ,                 1,              0,                   1,                   1.0,                   1,                   0
         6888,   10378, 2025-02-10 04:44:00, Search Ads    , -                 , Yes       ,             1,               1,                       3,              1,             0,             3, 0.3333333333333333 ,                 1,              1,                   3,                   1.0,                   1,                   1
         3370,   10378, 2025-02-11 05:56:00, Social Media  , Discount Offer    , Yes       ,             1,               2,                       2,              0,             0,             3, 0.3333333333333333 ,                 1,              1,                   3,                   1.0,                   1,                   1
         3224,   10378, 2025-02-11 21:26:00, Referral      , Brand Awareness   , Yes       ,             1,               3,                       1,              0,             1,             3, 0.3333333333333333 ,                 1,              1,                   3,                   1.0,                   1,                   1
         1958,   10414, 2025-02-11 06:40:00, Referral      , Brand Awareness   , No        ,             0,               1,                       2,              1,             0,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         2788,   10414, 2025-02-11 09:07:00, Social Media  , Brand Awareness   , No        ,             0,               2,                       1,              0,             1,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         4048,   10415, 2025-02-10 02:46:00, Social Media  , -                 , Yes       ,             1,               1,                       4,              1,             0,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         2826,   10415, 2025-02-10 22:16:00, Direct Traffic, -                 , Yes       ,             1,               2,                       3,              0,             0,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         8428,   10415, 2025-02-11 03:42:00, Email         , New Product Launch, No        ,             0,               3,                       2,              0,             0,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         5746,   10415, 2025-02-11 09:28:00, Email         , Discount Offer    , Yes       ,             1,               4,                       1,              0,             1,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         1330,   10426, 2025-02-10 04:18:00, Referral      , Winter Sale       , Yes       ,             1,               1,                       2,              1,             0,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         7503,   10426, 2025-02-11 12:48:00, Direct Traffic, -                 , Yes       ,             1,               2,                       1,              0,             1,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         3727,   10442, 2025-02-10 05:15:00, Direct Traffic, -                 , Yes       ,             1,               1,                       6,              1,             0,             6, 0.16666666666666666,                 1,              1,                   4,                   1.0,                   1,                   1
          340,   10442, 2025-02-10 19:54:00, Search Ads    , Winter Sale       , Yes       ,             1,               2,                       5,              0,             0,             6, 0.16666666666666666,                 1,              1,                   4,                   1.0,                   1,                   1
         2058,   10442, 2025-02-11 00:26:00, Search Ads    , New Product Launch, No        ,             0,               3,                       4,              0,             0,             6, 0.16666666666666666,                 1,              1,                   4,                   1.0,                   1,                   1
         7180,   10442, 2025-02-11 11:06:00, Social Media  , Winter Sale       , No        ,             0,               4,                       3,              0,             0,             6, 0.16666666666666666,                 1,              1,                   4,                   1.0,                   1,                   1
         6985,   10442, 2025-02-11 20:30:00, Email         , -                 , Yes       ,             1,               5,                       2,              0,             0,             6, 0.16666666666666666,                 1,              1,                   4,                   1.0,                   1,                   1
         3285,   10442, 2025-02-11 20:42:00, Social Media  , New Product Launch, Yes       ,             1,               6,                       1,              0,             1,             6, 0.16666666666666666,                 1,              1,                   4,                   1.0,                   1,                   1
         9906,   10466, 2025-02-10 00:48:00, Display Ads   , New Product Launch, No        ,             0,               1,                       3,              1,             0,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         9348,   10466, 2025-02-10 04:03:00, Social Media  , -                 , No        ,             0,               2,                       2,              0,             0,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         4050,   10466, 2025-02-11 23:16:00, Direct Traffic, -                 , Yes       ,             1,               3,                       1,              0,             1,             3, 0.3333333333333333 ,                 1,              1,                   1,                   3.0,                   0,                   0
         8381,   10518, 2025-02-10 03:46:00, Social Media  , Winter Sale       , No        ,             0,               1,                       4,              1,             0,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         7444,   10518, 2025-02-10 18:33:00, Social Media  , Winter Sale       , No        ,             0,               2,                       3,              0,             0,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         3307,   10518, 2025-02-10 19:04:00, Referral      , New Product Launch, Yes       ,             1,               3,                       2,              0,             0,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         3535,   10518, 2025-02-11 12:17:00, Referral      , -                 , Yes       ,             1,               4,                       1,              0,             1,             4, 0.25               ,                 1,              1,                   2,                   3.0,                   1,                   1
         4427,   10556, 2025-02-10 03:02:00, Referral      , -                 , No        ,             0,               1,                       4,              1,             0,             4, 0.25               ,                 1,              0,                   1,                   3.0,                   1,                   0
         8537,   10556, 2025-02-10 16:42:00, Direct Traffic, -                 , No        ,             0,               2,                       3,              0,             0,             4, 0.25               ,                 1,              0,                   1,                   3.0,                   1,                   0
         1107,   10556, 2025-02-10 20:13:00, Display Ads   , New Product Launch, Yes       ,             1,               3,                       2,              0,             0,             4, 0.25               ,                 1,              0,                   1,                   3.0,                   1,                   0
         7321,   10556, 2025-02-11 15:07:00, Direct Traffic, -                 , No        ,             0,               4,                       1,              0,             1,             4, 0.25               ,                 1,              0,                   1,                   3.0,                   1,                   0
         4080,   10566, 2025-02-10 09:32:00, Direct Traffic, -                 , Yes       ,             1,               1,                       1,              1,             1,             1, 1.0                ,                 1,              1,                   1,                   1.0,                   0,                   0
         7556,   10614, 2025-02-11 15:09:00, Search Ads    , Winter Sale       , No        ,             0,               1,                       2,              1,             0,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         7024,   10614, 2025-02-11 23:44:00, Social Media  , Brand Awareness   , No        ,             0,               2,                       1,              0,             1,             2, 0.5                ,                 0,              0,                   0,                      ,                   0,                   0
         4056,   10654, 2025-02-10 00:46:00, Referral      , Winter Sale       , No        ,             0,               1,                      10,              1,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         3652,   10654, 2025-02-10 02:38:00, Search Ads    , -                 , No        ,             0,               2,                       9,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         5148,   10654, 2025-02-10 03:50:00, Search Ads    , Winter Sale       , No        ,             0,               3,                       8,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         1192,   10654, 2025-02-10 08:53:00, Email         , -                 , Yes       ,             1,               4,                       7,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         4531,   10654, 2025-02-11 03:32:00, Display Ads   , -                 , Yes       ,             1,               5,                       6,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         3572,   10654, 2025-02-11 04:44:00, Search Ads    , New Product Launch, No        ,             0,               6,                       5,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         5682,   10654, 2025-02-11 09:46:00, Direct Traffic, -                 , Yes       ,             1,               7,                       4,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         7294,   10654, 2025-02-11 17:14:00, Email         , Retargeting       , Yes       ,             1,               8,                       3,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         2199,   10654, 2025-02-11 19:49:00, Display Ads   , Discount Offer    , Yes       ,             1,               9,                       2,              0,             0,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         9802,   10654, 2025-02-11 22:26:00, Social Media  , New Product Launch, No        ,             0,              10,                       1,              0,             1,            10, 0.1                ,                 1,              0,                   5,                   4.0,                   1,                   1
         5750,   10665, 2025-02-10 03:47:00, Referral      , Winter Sale       , Yes       ,             1,               1,                       2,              1,             0,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         9944,   10665, 2025-02-11 20:27:00, Referral      , Retargeting       , Yes       ,             1,               2,                       1,              0,             1,             2, 0.5                ,                 1,              1,                   2,                   1.0,                   1,                   1
         8780,   10668, 2025-02-10 16:40:00, Direct Traffic, -                 , No        ,             0,               1,                       7,              1,             0,             7, 0.14285714285714285,                 1,              0,                   3,                   2.0,                   1,                   1
         7499,   10668, 2025-02-10 18:19:00, Direct Traffic, -                 , Yes       ,             1,               2,                       6,              0,             0,             7, 0.14285714285714285,                 1,              0,                   3,                   2.0,                   1,                   1
         9742,   10668, 2025-02-10 21:26:00, Direct Traffic, -                 , No        ,             0,               3,                       5,              0,             0,             7, 0.14285714285714285,                 1,              0,                   3,                   2.0,                   1,                   1
         3252,   10668, 2025-02-11 07:39:00, Referral      , Retargeting       , Yes       ,             1,               4,                       4,              0,             0,             7, 0.14285714285714285,                 1,              0,                   3,                   2.0,                   1,                   1
         1983,   10668, 2025-02-11 13:34:00, Search Ads    , New Product Launch, Yes       ,             1,               5,                       3,              0,             0,             7, 0.14285714285714285,                 1,              0,                   3,                   2.0,                   1,                   1
         4134,   10668, 2025-02-11 14:54:00, Direct Traffic, -                 , No        ,             0,               6,                       2,              0,             0,             7, 0.14285714285714285,                 1,              0,                   3,                   2.0,                   1,                   1
         6527,   10668, 2025-02-11 23:44:00, Display Ads   , Brand Awareness   , No        ,             0,               7,                       1,              0,             1,             7, 0.14285714285714285,                 1,              0,                   3,                   2.0,                   1,                   1
         6197,   10673, 2025-02-10 02:33:00, Display Ads   , Retargeting       , Yes       ,             1,               1,                       4,              1,             0,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         3169,   10673, 2025-02-11 04:08:00, Direct Traffic, -                 , Yes       ,             1,               2,                       3,              0,             0,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         6365,   10673, 2025-02-11 05:18:00, Referral      , -                 , No        ,             0,               3,                       2,              0,             0,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         6381,   10673, 2025-02-11 12:48:00, Referral      , New Product Launch, Yes       ,             1,               4,                       1,              0,             1,             4, 0.25               ,                 1,              1,                   3,                   1.0,                   1,                   1
         3190,   10685, 2025-02-10 01:43:00, Display Ads   , Brand Awareness   , Yes       ,             1,               1,                       6,              1,             0,             6, 0.16666666666666666,                 1,              0,                   4,                   1.0,                   1,                   1
         1956,   10685, 2025-02-10 07:03:00, Referral      , Brand Awareness   , No        ,             0,               2,                       5,              0,             0,             6, 0.16666666666666666,                 1,              0,                   4,                   1.0,                   1,                   1
         8773,   10685, 2025-02-10 22:21:00, Search Ads    , New Product Launch, Yes       ,             1,               3,                       4,              0,             0,             6, 0.16666666666666666,                 1,              0,                   4,                   1.0,                   1,                   1
         9735,   10685, 2025-02-11 01:30:00, Email         , -                 , Yes       ,             1,               4,                       3,              0,             0,             6, 0.16666666666666666,                 1,              0,                   4,                   1.0,                   1,                   1
         4483,   10685, 2025-02-11 06:18:00, Email         , Discount Offer    , Yes       ,             1,               5,                       2,              0,             0,             6, 0.16666666666666666,                 1,              0,                   4,                   1.0,                   1,                   1
         6624,   10685, 2025-02-11 10:08:00, Display Ads   , -                 , No        ,             0,               6,                       1,              0,             1,             6, 0.16666666666666666,                 1,              0,                   4,                   1.0,                   1,                   1
         4803,   10690, 2025-02-10 02:17:00, Display Ads   , -                 , Yes       ,             1,               1,                       5,              1,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         1972,   10690, 2025-02-10 07:40:00, Display Ads   , Discount Offer    , Yes       ,             1,               2,                       4,              0,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         9818,   10690, 2025-02-10 08:32:00, Display Ads   , -                 , No        ,             0,               3,                       3,              0,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         3313,   10690, 2025-02-10 19:03:00, Email         , Discount Offer    , Yes       ,             1,               4,                       2,              0,             0,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
         9076,   10690, 2025-02-11 04:20:00, Search Ads    , New Product Launch, No        ,             0,               5,                       1,              0,             1,             5, 0.2                ,                 1,              0,                   3,                   1.0,                   1,                   1
          128,   10698, 2025-02-10 02:15:00, Referral      , New Product Launch, No        ,             0,               1,                       3,              1,             0,             3, 0.3333333333333333 ,                 0,              0,                   0,                      ,                   0,                   0
