user_id,converted_any_yes,last_touch_yes,n_touchpoints,channel_direct_traffic,channel_display_ads,channel_email,channel_referral,channel_search_ads,channel_social_media
10028,1,1,2,0,1,0,0,1,0
10045,1,1,2,0,1,0,0,1,0
10062,1,1,3,1,0,1,0,0,1
10068,1,0,5,0,0,0,0,1,1
10095,1,1,6,0,1,1,1,1,0
10120,1,1,5,1,0,1,1,0,0
10167,1,1,3,0,1,0,0,0,1
10172,1,1,2,0,0,1,1,0,0
10202,1,1,5,1,1,0,0,1,1
10255,1,1,4,1,0,0,1,0,1
10271,1,1,1,0,0,0,0,0,1
10273,1,1,1,0,0,0,0,0,1
10303,1,1,2,1,0,0,1,0,0
10306,1,1,2,0,0,0,0,1,1
10317,1,1,7,1,1,1,1,1,1
10341,1,1,3,0,1,1,0,0,0
10374,1,0,3,1,0,1,0,1,0
10378,1,1,3,0,0,0,1,1,1
10414,0,0,2,0,0,0,1,0,1
10415,1,1,4,1,0,1,0,0,1
10426,1,1,2,1,0,0,1,0,0
10442,1,1,6,1,0,1,0,1,1
10466,1,1,3,1,1,0,0,0,1
10518,1,1,4,0,0,0,1,0,1
10556,1,0,4,1,1,0,1,0,0
10566,1,1,1,1,0,0,0,0,0
10614,0,0,2,0,0,0,0,1,1
10654,1,0,10,1,1,1,1,1,1
10665,1,1,2,0,0,0,1,0,0
10668,1,0,7,1,1,0,1,1,0
10673,1,1,4,1,1,0,1,0,0
10685,1,0,6,0,1,1,1,1,0
10690,1,0,5,0,1,1,0,1,0
10698,0,0,3,0,1,0,1,1,0
10766,1,1,1,0,0,0,0,0,1
10781,0,0,2,1,1,0,0,0,0
10843,1,0,2,0,0,1,1,0,0
10919,0,0,2,1,0,0,1,0,0
10925,1,1,6,0,1,1,1,1,0
11007,0,0,1,0,0,0,1,0,0
11058,1,1,3,0,0,1,1,1,0
11107,1,1,2,0,0,0,1,0,1
11177,1,0,3,0,1,0,0,1,0
11186,1,1,2,0,0,0,0,0,1
11209,0,0,3,1,0,1,0,0,0
11233,1,1,4,0,0,1,1,0,0
11257,1,1,4,0,1,1,0,0,1
11284,0,0,4,0,1,1,0,0,1
11295,1,1,5,0,0,0,1,0,1
11365,1,1,2,0,1,0,1,0,0
11396,1,1,1,0,0,0,0,0,1
11416,1,1,7,1,1,1,1,0,1
11453,1,1,5,0,1,1,1,1,0
11503,1,0,4,1,0,1,0,1,1
11511,1,1,5,0,1,1,1,0,0
11611,1,0,4,1,0,0,1,0,0
11661,1,1,6,1,1,0,0,1,1
11686,1,1,6,1,1,1,1,1,1
11741,1,0,4,0,1,0,1,0,0
11780,1,0,6,1,1,1,1,0,0
11784,1,0,5,0,1,0,1,1,1
11790,1,1,5,0,0,1,1,1,1
11798,1,1,3,1,0,1,0,1,0
11801,1,1,4,1,0,0,0,1,1
11831,1,1,6,1,0,1,1,1,1
11835,1,0,2,0,0,0,1,0,1
11894,1,0,3,1,1,0,1,0,0
11914,1,0,4,0,1,1,0,1,0
11917,1,0,6,1,1,1,0,1,1
12077,0,0,2,0,0,1,0,0,1
12121,1,1,5,0,0,1,0,1,1
12217,1,1,4,0,1,1,1,0,1
12225,1,1,1,0,0,1,0,0,0
12248,0,0,1,0,0,0,1,0,0
12269,0,0,3,0,1,0,0,0,1
12275,1,0,8,1,1,1,0,1,0
12350,1,0,3,1,1,0,0,0,0
12397,0,0,2,1,1,0,0,0,0
12410,0,0,2,1,0,0,0,0,1
12432,0,0,2,1,0,0,0,1,0
12459,1,1,6,1,0,0,1,0,1
12509,1,1,4,0,1,1,1,0,1
12641,1,0,4,1,1,0,1,0,1
12663,1,1,4,1,1,0,1,1,0
12712,1,0,2,1,0,0,1,0,0
12731,1,1,3,0,0,0,0,1,0
12755,0,0,2,0,0,1,1,0,0
12756,0,0,3,1,0,1,1,0,0
12797,1,0,2,0,0,0,0,1,1
12806,1,0,2,0,0,0,0,1,1
12855,1,1,3,0,0,0,1,1,1
12863,1,1,3,0,0,1,0,1,0
12877,1,1,5,1,1,1,0,1,0
13004,1,1,6,0,0,1,1,0,1
13035,1,1,6,1,0,1,1,1,1
13090,1,1,4,0,0,1,1,0,1
13102,1,1,2,0,0,0,1,1,0
