term,coef,stderr,z,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,significant
intercept,0.7489766521142731,0.019455483711537415,38.49694323817392,0.0,0.7108439040396598,0.7871094001888864,2.114834697248055,2.0357084765682125,2.197036485412702,Yes
num__n_touchpoints,0.09946782801701633,0.007156686150622539,13.898587408134967,0.0,0.08544072316179616,0.1134949328722365,1.104582933544963,1.0891969952763874,1.1201862127513407,Yes
num__n_unique_channels,0.12789576437535674,0.014620494460124908,8.74770444489222,0.0,0.09923959523351192,0.15655193351720156,1.136434539559031,1.104330860274215,1.169471495510014,Yes
num__journey_duration_hours,0.05392721067028863,0.03082087129292569,1.7496977991879983,0.08017047366966779,-0.006481697063845722,0.11433611840442298,1.0554077769344306,0.9935392638227446,1.1211288936160282,No
num__repeat_touchpoint_count,0.028380331120426053,0.018439287263982463,1.5391229993938795,0.12377427116800788,-0.007760671916979572,0.06452133415783168,1.0287868896933763,0.9922693643465682,1.0666483340458195,No
num__repeat_touchpoint_ratio,0.07151185890342719,0.029020622144629898,2.464173874255141,0.013732947417464336,0.014631439499952596,0.12839227830690178,1.0741308886402612,1.014739002973427,1.1369989352437762,Yes
num__mean_time_between_touchpoints,-0.04464614821864228,0.023163580350555754,-1.927428641987598,0.05392623300873178,-0.09004676570573156,0.0007544692684469945,0.9563358231028202,0.9138884456337414,1.000754753951976,No
num__median_time_between_touchpoints,-0.05045343704722545,0.02718726814596811,-1.8557744300141361,0.06348571667356206,-0.10374048261332294,0.002833608518872044,0.9507981996132928,0.9014592114062591,1.0028376269821786,No
num__max_time_gap,0.07712658355418997,0.02786587898336271,2.767778601214708,0.005643978263484062,0.022509460746799055,0.1317437063615809,1.080178800610641,1.022764710236633,1.1408158979387235,Yes
num__n_channel_transitions,0.09329008288863577,0.01231693195350475,7.574133172189064,3.6193270602780103e-14,0.06914889625976646,0.11743126951750509,1.0977801363175312,1.071595753869978,1.124604332689023,Yes
num__n_unique_transitions,0.10662554741326533,0.013022076114992242,8.188060526731828,2.220446049250313e-16,0.08110227822788053,0.13214881659865013,1.1125175913840257,1.0844818097723328,1.141278147762336,Yes
num__channel_switch_rate,0.0347791870216473,0.033998624348594776,1.0229586545928817,0.30632739486418714,-0.031858116701598466,0.10141649074489306,1.0353910557729895,0.9686440067364879,1.1067374917092163,No
