feature_set,n_raw_features,n_encoded_features,mean_cv_roc_auc,std_cv_roc_auc,ci_lower_95,ci_upper_95,oof_roc_auc,oof_ci_lower_95,oof_ci_upper_95,mean_cv_pr_auc,holdout_test_roc_auc,holdout_test_pr_auc,brier_score,incremental_auc_over_length_only,ci_lower_incremental_auc,ci_upper_incremental_auc,incremental_pr_auc_over_length_only
channel_presence_only,6,6,0.7631871778350658,0.02395963671515174,0.7565459053694142,0.7698284503007174,0.7580641091040841,0.7352677172552541,0.7805963869435726,0.9382443970148064,0.650119712689545,0.9016155025785582,0.13525023103575315,-0.011687663242443413,-0.025780527695667417,0.002177945731113656,0.002851337176417834
journey_length_only,1,1,0.7834709976547478,0.022171789665678766,0.7773252911078796,0.789616704201616,0.7697517723465275,0.7474437651284278,0.7922292595763593,0.9353930598383886,0.6856943335993615,0.9075982190821462,0.13222993708306097,0.0,0.0,0.0,0.0
channel_presence_plus_length,7,7,0.787089483310767,0.023171916950742676,0.7806665556240541,0.7935124109974799,0.784535296418535,0.7626238185003684,0.8059264721587525,0.9466990131860851,0.6829209896249002,0.9157818913099549,0.1318461477256751,0.014783524072007559,0.007824732935906012,0.021461739492579845,0.011305953347696462
channel_counts_only,6,6,0.7856514511950057,0.023214637950239692,0.7792166818513829,0.7920862205386284,0.7837593033547054,0.762143464564677,0.8052191945580126,0.9460881291468661,0.6857142857142858,0.9167773029979158,0.13118347793856186,0.014007531008177976,0.007487669955054685,0.020375473090212908,0.010695069308477523
channel_proportions_only,6,6,0.5354508037565499,0.029269143599781198,0.52733781106833,0.5435637964447697,0.5359795808375678,0.5055257927417388,0.5656889982672999,0.8302404404828115,0.4612330407023144,0.7990302675494422,0.13762533794592294,-0.23377219150895967,-0.27136106846646635,-0.19636270297369512,-0.10515261935557707
channel_counts_plus_proportions,12,12,0.784420832262694,0.022899856659689636,0.7780733158412455,0.7907683486841425,0.7821018686922399,0.7604294705575418,0.8032262531516029,0.9457825619131255,0.6845969672785316,0.9157759075708575,0.13079637335235453,0.01235009634571238,0.005948797906061673,0.01878929721833308,0.010389502074736878
journey_structure_only,12,12,0.7828888884324401,0.022350199687856422,0.7766937291504586,0.7890840477144215,0.7728972030001461,0.7508614369501464,0.793798128398809,0.944604056473841,0.6843774940143654,0.9193109801164155,0.1338778236937097,0.0031454306536186083,-0.0035902805780761043,0.009783060684297186,0.00921099663545244
journey_position_only,21,58,0.7662346162901806,0.02551591377555826,0.7591619658319042,0.7733072667484571,0.7670038015548702,0.7442695070491825,0.7895272061983429,0.9402411306640143,0.6791899441340783,0.9173892818755975,0.1331918950405827,-0.0027479707916572282,-0.010955785047984706,0.005171560025230858,0.004848070825625661
sequence_summary_only,6,6,0.7838783348758481,0.022376245759434067,0.777675955991163,0.7900807137605332,0.7758551695918872,0.7542433909598661,0.7972179819913336,0.9435059903276809,0.6884676775738229,0.9176315119502889,0.13156940906229045,0.006103397245359687,-0.0006917251232305708,0.012645262474708699,0.008112930489292292
full_enhanced_features,51,88,0.7599471870709295,0.026015647715657637,0.7527360174315824,0.7671583567102765,0.7608120798957411,0.7378243723969876,0.7838394358275778,0.9376453770875228,0.6822027134876298,0.9186638609588053,0.1326222712385164,-0.008939692450786407,-0.017894525912654745,-0.0003516850074707629,0.002252317249134217
