model,C,train_auc,validation_auc,test_auc,validation_accuracy,validation_precision,validation_recall,validation_f1,is_best
row_channel,0.01,0.50883,0.497827,0.482445,0.502667,0.490842,0.180837,0.2643,True
row_channel,0.1,0.50883,0.497827,0.482445,0.499333,0.490775,0.358974,0.414653,False
row_channel,1.0,0.50883,0.497827,0.482445,0.499333,0.490775,0.358974,0.414653,False
row_channel,10.0,0.50883,0.497827,0.482445,0.499333,0.490775,0.358974,0.414653,False
row_channel,100.0,0.50883,0.497827,0.482445,0.499333,0.490775,0.358974,0.414653,False
user_any_channel,0.01,0.787069,0.793958,0.648923,0.836066,0.836066,1.0,0.910714,True
user_any_channel,0.1,0.787498,0.793798,0.64996,0.836066,0.836066,1.0,0.910714,False
user_any_channel,1.0,0.787498,0.793798,0.64996,0.831382,0.846715,0.97479,0.90625,False
user_any_channel,10.0,0.787498,0.793798,0.64996,0.831382,0.846715,0.97479,0.90625,False
user_any_channel,100.0,0.787498,0.793798,0.64996,0.831382,0.846715,0.97479,0.90625,False
journey_length_only,0.01,0.79586,0.82531,0.685694,0.836066,0.836066,1.0,0.910714,True
journey_length_only,0.1,0.79586,0.82531,0.685694,0.836066,0.836066,1.0,0.910714,False
journey_length_only,1.0,0.79586,0.82531,0.685694,0.836066,0.836066,1.0,0.910714,False
journey_length_only,10.0,0.79586,0.82531,0.685694,0.836066,0.836066,1.0,0.910714,False
journey_length_only,100.0,0.79586,0.82531,0.685694,0.836066,0.836066,1.0,0.910714,False
channel_plus_length,0.01,0.805304,0.826351,0.685874,0.836066,0.836066,1.0,0.910714,False
channel_plus_length,0.1,0.805083,0.826431,0.685874,0.833724,0.845411,0.980392,0.907912,True
channel_plus_length,1.0,0.805212,0.82599,0.685435,0.831382,0.848411,0.971989,0.906005,False
channel_plus_length,10.0,0.805243,0.82523,0.683799,0.833724,0.8575,0.960784,0.906209,False
channel_plus_length,100.0,0.805437,0.82527,0.683081,0.833724,0.8575,0.960784,0.906209,False
