split,model,accuracy,precision,recall,f1,roc_auc
Train,row_channel,0.5077142857142857,0.5067144136078783,0.16353655013002022,0.2472695500218436,0.5088297493917407
Validation,row_channel,0.5026666666666667,0.4908424908424908,0.18083670715249664,0.26429980276134124,0.4978272426785013
Test,row_channel,0.5026666666666667,0.49242424242424243,0.1752021563342318,0.2584493041749503,0.4824451137551651
Train,user_any_channel,0.8363453815261044,0.8363453815261044,1.0,0.910880262438491,0.787068508384949
Validation,user_any_channel,0.8360655737704918,0.8360655737704918,1.0,0.9107142857142857,0.7939575830332133
Test,user_any_channel,0.8364485981308412,0.8364485981308412,1.0,0.910941475826972,0.6489225857940941
Train,journey_length_only,0.8363453815261044,0.8363453815261044,1.0,0.910880262438491,0.7958603686873522
Validation,journey_length_only,0.8360655737704918,0.8360655737704918,1.0,0.9107142857142857,0.8253101240496199
Test,journey_length_only,0.8364485981308412,0.8364485981308412,1.0,0.910941475826972,0.6856943335993615
Train,channel_plus_length,0.8378514056224899,0.844889573703133,0.9873949579831933,0.9106006089122612,0.8050830761752554
Validation,channel_plus_length,0.8337236533957846,0.8454106280193237,0.9803921568627451,0.9079118028534371,0.8264305722288915
Test,channel_plus_length,0.8387850467289719,0.8432304038004751,0.9916201117318436,0.9114249037227214,0.6858739026336792
